relative_path,size_bytes
data/benchmarks/cardiology/enriched_preview.csv,5417130
data/benchmarks/cardiology/fully_enriched.csv,5467436
data/benchmarks/cardiology/high_impact_subset.csv,649459
data/benchmarks/cardiology/raw_openalex_articles.csv,5400696
data/benchmarks/dashboard/discipline_dashboard.html,49780
data/benchmarks/dashboard/discipline_overall_summary.csv,1044
data/benchmarks/dashboard/discipline_year_summary.csv,8931
data/benchmarks/neurology/enriched_preview.csv,4850364
data/benchmarks/neurology/fully_enriched.csv,4899437
data/benchmarks/neurology/high_impact_subset.csv,533288
data/benchmarks/neurology/raw_openalex_articles.csv,4833862
data/benchmarks/neuroscience/enriched_preview.csv,4247667
data/benchmarks/neuroscience/fully_enriched.csv,4298874
data/benchmarks/neuroscience/high_impact_subset.csv,413056
data/benchmarks/neuroscience/raw_openalex_articles.csv,4224517
data/benchmarks/stroke/enriched_preview.csv,6380671
data/benchmarks/stroke/fully_enriched.csv,6443924
data/benchmarks/stroke/high_impact_subset.csv,1223350
data/benchmarks/stroke/raw_openalex_articles.csv,6358119
