relative_path,size_bytes
data/benchmarks/cardiology/enriched_preview.csv,5422217
data/benchmarks/cardiology/fully_enriched.csv,5472535
data/benchmarks/cardiology/high_impact_subset.csv,652112
data/benchmarks/cardiology/raw_openalex_articles.csv,5405783
data/benchmarks/dashboard/discipline_dashboard.html,49765
data/benchmarks/dashboard/discipline_overall_summary.csv,1041
data/benchmarks/dashboard/discipline_year_summary.csv,8914
data/benchmarks/neurology/enriched_preview.csv,4874192
data/benchmarks/neurology/fully_enriched.csv,4923246
data/benchmarks/neurology/high_impact_subset.csv,533309
data/benchmarks/neurology/raw_openalex_articles.csv,4857651
data/benchmarks/neuroscience/enriched_preview.csv,4247267
data/benchmarks/neuroscience/fully_enriched.csv,4298475
data/benchmarks/neuroscience/high_impact_subset.csv,415272
data/benchmarks/neuroscience/raw_openalex_articles.csv,4224327
data/benchmarks/stroke/enriched_preview.csv,6379422
data/benchmarks/stroke/fully_enriched.csv,6442764
data/benchmarks/stroke/high_impact_subset.csv,1233289
data/benchmarks/stroke/raw_openalex_articles.csv,6356870
